,count,mean,std,min,25%,50%,75%,max
avg_rating,374.0,4.697054719699071,0.39858727245276376,1.8214285714285716,4.632220795892169,4.8,4.947368421052632,5.0
rating_std,374.0,0.588339563856671,0.45530216559188574,0.0,0.2294157338705617,0.4893604849295929,0.910465468000326,1.9318084941243563
low_rating_ratio,374.0,0.04100811925182157,0.0903452905760564,0.0,0.0,0.0,0.05,0.8214285714285714
avg_review_length,374.0,371.678564511535,159.67817071925364,0.0,276.1644736842105,424.5,483.20217391304345,781.8095238095239
duplicate_review_ratio,374.0,0.07285348375131341,0.1418763122097345,0.0,0.0,0.0,0.0833333333333333,1.875
negative_keyword_ratio,374.0,0.09087428311978639,0.0854367330581206,0.0,0.0,0.054093567251461944,0.15,0.5
textless_5star_ratio,374.0,0.43783750103465063,0.13183494401369328,0.0,0.3846153846153846,0.43933823529411764,0.4736842105263157,1.0
review_count,374.0,22.018716577540108,6.973498086341389,1.0,20.0,20.0,21.0,82.0
review_density,374.0,20.361408199643492,2.8222380096511976,1.0,20.0,20.0,21.0,30.0
question_count,374.0,14.647058823529411,6.645648410864063,0.0,15.0,15.0,16.0,58.0
refund_question_ratio,374.0,0.03828079286365405,0.0663907974321921,0.0,0.0,0.0,0.0625,0.3333333333333333
defect_question_ratio,374.0,0.02317747852312184,0.05307307493197755,0.0,0.0,0.0,0.0,0.3333333333333333
authenticity_question_ratio,374.0,0.06773842116648911,0.12254649854404896,0.0,0.0,0.0,0.1039473684210526,1.0
question_density,374.0,13.510695187165775,4.5613063187110665,0.0,15.0,15.0,16.0,30.0
question_review_ratio,374.0,0.6691700239526361,0.27838904139491955,0.0,0.6521739130434783,0.75,0.7619047619047619,4.0
negative_sentiment_ratio,374.0,0.09087428311978639,0.0854367330581206,0.0,0.0,0.054093567251461944,0.15,0.5
avg_sentiment_score,374.0,0.9091257168802136,0.08543673305812062,0.5,0.85,0.945906432748538,1.0,1.0
rating_normalized,374.0,0.9242636799247677,0.09964681811319094,0.2053571428571428,0.9080551989730423,0.95,0.986842105263158,1.0
rating_sentiment_gap,374.0,0.09170411842643798,0.08636107623473074,0.0,0.034090909090909026,0.06594202898550725,0.13082298136645962,0.6517857142857144
product_count,374.0,1.0909090909090908,0.36210988404196753,1.0,1.0,1.0,1.0,4.0
abusive_label,374.0,0.24598930481283424,0.43124914875688375,0.0,0.0,0.0,0.0,1.0
conditions_met_count,374.0,1.732620320855615,1.1934383068204624,0.0,1.0,2.0,2.0,5.0
